# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.44
2                      13.69
4                      12.70
8                      12.68
16                     12.89
32                     12.96
64                     13.88
128                    15.59
256                    21.87
512                    34.16
1024                   36.55
2048                   49.50
4096                   73.05
8192                   84.44
