# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.90
2                       1.87
4                       1.88
8                       1.88
16                      1.85
32                      1.87
64                      1.86
128                     2.33
256                     2.54
512                     2.59
1024                    2.68
2048                    2.87
4096                    2.93
8192                    3.31
