Compiler	test	% mem	Size	Threads	Rate (MB/s)	Avg time	Min time	Max time	notes
ifc	Scale	 0.183	20000000	104	672096.8	0.0005	0.0005	0.0005	kestrel nodes
icc	Scale	30.000	3287419100	1	12010.5	4.38029	4.379403	4.38121	kestrel nodes
icc	Scale	30.000	3287419100	24	64996.0	0.80968	0.80926	0.810636	kestrel nodes
icc	Scale	30.000	3287419100	44	126297.7	0.416698	0.416466	0.4169	kestrel nodes
icc	Scale	30.000	3287419100	64	183611.1	0.286777	0.286468	0.28709	kestrel nodes
icc	Scale	30.000	3287419100	84	241014.3	0.21846	0.218239	0.219204	kestrel nodes
icc	Scale	30.000	3287419100	104	298754.5	0.177042	0.17606	0.178433	kestrel nodes
ifc	Scale	30.000	3287419100	1	13828.6	3.8054	3.8036	3.8068	kestrel nodes
ifc	Scale	30.000	3287419100	24	62799.5	0.8381	0.8376	0.8391	kestrel nodes
ifc	Scale	30.000	3287419100	44	125691.4	0.419	0.4185	0.4199	kestrel nodes
ifc	Scale	30.000	3287419100	64	182716.3	0.288	0.2879	0.2886	kestrel nodes
ifc	Scale	30.000	3287419100	84	239854.7	0.2195	0.2193	0.2202	kestrel nodes
ifc	Scale	30.000	3287419100	104	297285.5	0.1778	0.1769	0.1798	kestrel nodes
icc	Triad	 0.091	10000000	1	15336.5	0.015729	0.015649	0.01601	kestrel nodes
icc	Triad	 0.091	10000000	24	100801.8	0.002408	0.002381	0.002422	kestrel nodes
icc	Triad	 0.091	10000000	44	222219.6	0.001086	0.00108	0.001092	kestrel nodes
icc	Triad	 0.091	10000000	64	922779.1	0.000286	0.00026	0.000395	kestrel nodes
icc	Triad	 0.091	10000000	84	1859832.0	0.000153	0.000129	0.000229	kestrel nodes
icc	Triad	 0.091	10000000	104	995804.4	0.00129	0.000241	0.00355	kestrel nodes
ifc	Triad	 0.183	20000000	1	14479.2	0.0332	0.0332	0.0332	kestrel nodes
ifc	Triad	 0.183	20000000	24	92970.0	0.0052	0.0052	0.0052	kestrel nodes
ifc	Triad	 0.183	20000000	44	177317.8	0.0027	0.0027	0.0028	kestrel nodes
ifc	Triad	 0.183	20000000	64	268758.0	0.0018	0.0018	0.0018	kestrel nodes
ifc	Triad	 0.183	20000000	84	390546.3	0.0012	0.0012	0.0013	kestrel nodes
ifc	Triad	 0.183	20000000	104	615489.4	0.0008	0.0008	0.0008	kestrel nodes
icc	Triad	30.000	3287419100	1	13663.7	5.776781	5.774271	5.782823	kestrel nodes
icc	Triad	30.000	3287419100	24	75413.9	1.046943	1.046201	1.048185	kestrel nodes
icc	Triad	30.000	3287419100	44	159027.6	0.496882	0.496128	0.497946	kestrel nodes
icc	Triad	30.000	3287419100	64	231025.8	0.341935	0.341512	0.342564	kestrel nodes
icc	Triad	30.000	3287419100	84	303317.6	0.260835	0.260117	0.262645	kestrel nodes
icc	Triad	30.000	3287419100	104	377006.8	0.212	0.209275	0.219791	kestrel nodes
ifc	Triad	30.000	3287419100	1	13538.6	5.8297	5.8276	5.8319	kestrel nodes
ifc	Triad	30.000	3287419100	24	73303.7	1.077	1.0763	1.0783	kestrel nodes
ifc	Triad	30.000	3287419100	44	163139.3	0.4838	0.4836	0.4841	kestrel nodes
ifc	Triad	30.000	3287419100	64	237451.5	0.3328	0.3323	0.3338	kestrel nodes
ifc	Triad	30.000	3287419100	84	311726.6	0.2537	0.2531	0.2548	kestrel nodes
ifc	Triad	30.000	3287419100	104	386105.8	0.206	0.2043	0.2103	kestrel nodes
